;ANO;NUTS_III;CODIGO_CONCELHO;Concelho;zona rqs;saifi at num;saidi at min;maifi at num;tiepi mt min;end mt mwh;saifi mt num;saidi mt min;maifi mt num;saifi bt num;saidi bt min;ligacao_auxiliar_mapa;codigo_concelho_sem_digitos;distrito
9374;2015;Oeste;1104;Cadaval;Concelho;0;0;0;175,468;15,8934;2,96316;189,737;12,4363;2,7901;179,942;1;11;Lisboa
9375;2015;Alentejo Litoral;1505;Grândola;Zona B;0;0;0;60,5103;2,28391;3,3871;101,643;24,4355;3,87474;79,8061;1;15;Setúbal
9376;2015;Viseu Dão Lafões;1824;Vouzela;Concelho;0;0;1;109,726;6,26071;2,07179;107,667;15,1969;2,12205;103,403;1;18;Viseu
9377;2015;Região de Aveiro;115;Ovar;Zona C;0;0;0;74,7848;13,5687;1,18291;85,483;6,94728;1,48539;98,5946;1;1;Aveiro
9378;2015;Médio Tejo;1401;Abrantes;Zona C;2;382,317;8;64,3175;8,69832;1,93971;69,0705;10,8928;2,36937;94,3918;1;14;Santarém
9379;2015;Ave;309;Póvoa de Lanhoso;Zona A;0;0;0;0;0;0;0;0;0;0;1;3;Braga
9380;2015;Viseu Dão Lafões;1822;Vila Nova de Paiva;Zona B;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9381;2015;Algarve;807;Lagos;Zona C;0;0;3;271,875;24,0007;6,56106;352,77;33,4249;7,01143;323,303;1;8;Faro
9382;2015;Alto Alentejo;1201;Alter do Chão;Zona B;0;0;0;0;0;0;0;0;0;0;1;12;Portalegre
9383;2015;Douro;1708;Peso da Régua;Zona B;0;0;0;63,8629;3,39251;3,16177;82,7946;14,7647;2,88765;61,6839;1;17;Vila Real
9384;2015;Área Metropolitana do Porto;116;São João da Madeira;Zona B;0;0;0;14,4471;2,45597;0,63522;17,7256;0,90456;0,828567;32,5009;1;1;Aveiro
9385;2015;Algarve;813;Silves;Zona A;0;0;0;0;0;0;0;0;0;0;1;8;Faro
9386;2015;Lezíria do Tejo;1416;Santarém;Concelho;0;0;0;80,267;45,3534;1,23809;72,7057;13,2483;1,21081;57,3603;1;14;Santarém
9387;2015;Algarve;804;Castro Marim;Concelho;1;80,25;1;103,269;7,03963;1,47159;191,489;9,93182;1,3077;101,063;1;8;Faro
9388;2015;Algarve;813;Silves;Concelho;0,5;147,458;0;76,8275;25,0545;2,3674;95,2664;12,3305;1,91988;83,7905;1;8;Faro
9389;2015;Beiras e Serra da Estrela;910;Pinhel;Zona C;0;0;2;18,7541;1,26706;1,13074;14,7879;13,7956;1,03241;16,8696;1;9;Guarda
9390;2015;Baixo Alentejo;214;Vidigueira;Zona A;0;0;0;0;0;0;0;0;0;0;1;2;Beja
9391;2015;Beiras e Serra da Estrela;912;Seia;Zona B;0;0;0;52,034;3,22184;2,32812;48,3331;6,70312;2,05105;18,8663;1;9;Guarda
9392;2015;Região de Coimbra;613;Penacova;Zona C;0;0;1;68,7059;3,43174;1,91469;89,6181;9,42825;1,91005;73,275;1;6;Coimbra
9393;2015;Região de Aveiro;110;Ílhavo;Zona B;0;0;0;69,7063;16,0531;0,996048;66,6561;8,42027;0,708073;38,7768;1;1;Aveiro
